Year,Month,State,Location,Activity,Species,Provoked,InjuryLevel,HeadInjury,ArmInjury,LegInjury,TorsoInjury
2007,10,NSW,bay,surfing,white shark,0,2,0,1,0,0
2007,10,QLD,reef,diving,bronze whaler shark,0,2,0,0,1,0
2007,7,CC,island,other,bronze whaler shark,0,2,0,0,1,0
2007,6,NSW,beach,surfing,other,0,2,0,0,1,0
2007,5,WA,beach,other,other,0,2,0,0,1,0
2007,5,VIC,other,surfing,other,0,0,0,0,1,0
2007,4,QLD,island,swimming,other,0,0,0,0,1,0
2007,3,NSW,beach,surfing,other,0,2,0,1,0,0
2007,3,QLD,other,swimming,other,0,2,0,1,1,0
2007,2,NSW,beach,boarding,other,0,2,0,0,1,0
2007,1,NSW,other,diving,white shark,0,2,1,0,0,1
2007,1,NSW,beach,surfing,other,0,0,0,0,0,0
2006,12,VIC,beach,surfing,other,0,2,0,0,1,0
2006,12,WA,beach,boarding,white shark,0,3,0,0,1,0
2006,8,SA,island,surfing,bronze whaler shark,0,0,0,0,0,0
2006,6,SA,other,surfing,white shark,0,0,0,0,0,0
2006,5,QLD,beach,snorkeling,wobbegong shark,1,3,0,0,0,1
2006,4,NSW,beach,surfing,bronze whaler shark,0,2,0,0,1,0
2006,3,NSW,other,surfing,bronze whaler shark,0,0,0,0,0,0
2006,2,QLD,beach,other,other,0,2,0,0,1,0
2006,2,QLD,bay,swimming,other,0,3,0,1,0,0
2006,2,SA,beach,fishing,white shark,0,0,0,0,0,0
2006,1,WA,beach,diving,white shark,0,2,0,1,0,0
2006,1,QLD,island,swimming,bull shark,0,4,0,0,0,0
2005,12,QLD,reef,diving,other,0,2,1,1,0,0
2005,12,SA,beach,fishing,white shark,0,0,0,0,0,0
2005,11,VIC,other,fishing,white shark,0,0,0,0,0,0
2005,11,VIC,other,surfing,other,0,2,0,0,1,0
2005,9,NSW,bay,surfing,tiger shark,0,0,0,0,0,0
2005,9,SA,island,surfing,white shark,0,2,0,0,1,0
2005,9,WA,beach,surfing,bronze whaler shark,0,0,0,0,0,0
2005,9,NSW,beach,other,other,0,2,0,0,1,0
2005,9,SA,bay,surfing,white shark,0,2,0,1,0,0
2005,8,SA,other,diving,white shark,0,4,0,0,0,0
2005,5,QLD,other,diving,other,0,3,0,0,1,0
2005,4,NSW,other,fishing,other,1,2,0,0,0,0
2005,4,NSW,other,other,other,0,2,0,0,0,0
2005,4,NT,island,diving,other,0,1,1,0,0,0
2005,4,NSW,beach,surfing,bronze whaler shark,0,0,0,0,0,0
2005,3,NSW,other,surfing,other,0,0,0,0,0,0
2005,3,WA,island,snorkeling,white shark,0,4,0,0,0,0
2005,2,QLD,river,swimming,bull shark,0,2,0,1,0,0
2005,1,VIC,bay,diving,other,1,0,1,0,0,0
2005,1,VIC,other,boating,bronze whaler shark,1,0,0,0,0,0
2004,12,SA,beach,surfing,white shark,0,4,0,0,0,0
2004,12,QLD,reef,diving,bull shark,0,4,0,0,1,0
2004,10,NSW,beach,surfing,bronze whaler shark,0,2,0,0,1,0
2004,9,QLD,reef,diving,tiger shark,0,0,0,0,0,0
2004,8,NSW,bay,diving,other,0,3,0,0,1,0
2004,7,WA,beach,fishing,white shark,0,0,1,0,0,0
2004,7,WA,beach,surfing,other,0,4,0,0,1,1
2004,6,WA,other,boarding,bronze whaler shark,0,2,0,0,1,0
2004,4,NSW,reef,diving,wobbegong shark,0,3,0,1,0,0
2004,3,WA,other,diving,bronze whaler shark,0,2,0,0,1,0
2004,2,NSW,beach,swimming,other,0,2,0,0,0,0
2004,2,NSW,beach,snorkeling,other,0,2,0,0,1,0
2004,1,WA,other,diving,white shark,0,2,0,0,1,0
2004,1,NSW,other,diving,other,0,0,0,0,0,0
2004,0,WA,beach,surfing,other,0,0,0,0,0,0
2003,12,VIC,beach,surfing,other,0,0,0,0,1,0
2003,11,WA,river,swimming,wobbegong shark,0,2,0,0,0,0
2003,11,WA,river,swimming,wobbegong shark,0,2,0,1,1,0
2003,11,NSW,other,other,other,0,2,0,0,1,0
2003,10,NSW,beach,surfing,other,0,2,0,0,1,0
2003,7,NT,other,surfing,other,0,0,0,0,0,0
2003,2,SA,beach,other,other,0,2,0,0,1,0
2003,2,NSW,bay,swimming,other,0,3,0,0,1,0
2003,2,QLD,other,swimming,bull shark,0,4,0,0,0,0
2003,1,WA,beach,surfing,bronze whaler shark,0,0,0,0,0,0
2002,12,QLD,bay,snorkeling,other,0,2,0,1,0,0
2002,12,QLD,other,diving,wobbegong shark,0,2,0,0,0,0
2002,12,QLD,other,swimming,bull shark,0,4,0,0,0,0
2002,6,QLD,beach,surfing,other,0,1,0,0,1,0
2002,5,NT,other,fishing,other,1,0,0,1,0,0
2002,4,SA,bay,surfing,white shark,0,4,0,0,1,1
2002,4,NSW,beach,swimming,other,0,2,0,0,1,0
2002,2,QLD,beach,surfing,other,0,2,0,0,1,0
2002,2,NSW,river,boating,other,0,2,0,0,0,1
2002,1,NSW,other,surfing,tiger shark,0,1,0,0,0,0
2002,1,WA,river,swimming,other,0,0,0,0,0,0
2001,11,NSW,beach,surfing,bronze whaler shark,0,0,0,0,0,0
2001,10,QLD,other,snorkeling,bronze whaler shark,0,2,1,1,0,0
2001,9,QLD,bay,other,white shark,0,0,0,0,0,0
2001,5,NSW,other,surfing,other,0,2,0,0,0,1
2001,4,NSW,beach,snorkeling,wobbegong shark,1,2,0,1,0,0
2001,4,NSW,river,surfing,bronze whaler shark,0,2,0,0,1,0
2001,2,WA,other,fishing,white shark,0,0,0,0,0,0
2001,2,NSW,other,surfing,bronze whaler shark,0,2,0,0,1,0
2001,1,NSW,other,boating,other,0,0,0,0,0,0
2001,1,SA,other,fishing,white shark,0,0,0,0,0,0
2000,12,QLD,other,diving,other,0,2,0,1,0,0
2000,12,SA,port,fishing,white shark,0,0,0,0,0,0
2000,12,QLD,reef,diving,bronze whaler shark,0,2,1,1,0,0
2000,11,QLD,island,diving,tiger shark,0,0,0,0,0,0
2000,11,WA,beach,swimming,white shark,0,2,0,0,1,0
2000,11,WA,beach,swimming,white shark,0,4,0,0,1,1
2000,10,QLD,island,fishing,white shark,0,0,0,0,0,0
2000,9,SA,other,surfing,white shark,0,4,0,0,0,0
2000,9,SA,beach,surfing,white shark,0,4,0,0,0,0
2000,9,NSW,other,other,other,1,2,0,0,1,0
2000,3,QLD,beach,swimming,other,0,2,0,0,1,0
2000,3,NSW,beach,surfing,tiger shark,0,0,0,0,0,0
2000,3,NSW,river,boating,other,0,0,0,0,0,0
2000,3,NSW,river,boating,other,0,0,0,0,0,0
2000,3,NSW,bay,swimming,other,0,0,0,0,0,0
2000,2,SA,beach,surfing,other,0,2,0,1,0,0
1999,5,SA,bay,surfing,white shark,0,4,0,0,0,0
1999,2,NSW,other,surfing,tiger shark,0,2,1,1,0,0
1998,12,SA,beach,other,other,0,3,0,0,1,0
1998,12,SA,beach,surfing,other,0,0,0,0,1,0
1998,6,SA,island,diving,white shark,0,4,0,0,1,0
1998,1,SA,beach,surfing,other,0,3,0,0,1,0
1997,11,WA,other,diving,white shark,0,2,0,1,0,0
1997,10,WA,beach,surfing,white shark,0,2,0,0,0,0
1997,7,QLD,beach,surfing,other,0,2,0,0,1,0
1997,2,QLD,river,swimming,other,0,2,0,0,1,0
1997,2,QLD,other,diving,tiger shark,0,2,0,1,0,0
1997,2,NSW,other,boating,other,0,1,0,0,0,0
1997,1,QLD,beach,snorkeling,other,0,3,0,0,1,0
1997,1,WA,other,surfing,tiger shark,0,4,0,0,0,0
1997,1,VIC,island,other,white shark,0,0,0,0,0,0
1996,12,QLD,beach,surfing,other,0,0,0,0,0,0
1996,6,VIC,other,surfing,white shark,0,0,0,0,0,0
1996,4,NSW,other,swimming,wobbegong shark,0,3,0,0,0,0
1996,4,NSW,other,swimming,wobbegong shark,0,3,0,0,1,0
1996,3,QLD,island,swimming,tiger shark,0,2,0,1,1,0
1996,3,NSW,island,fishing,other,0,2,0,0,1,0
1996,2,NSW,river,diving,bronze whaler shark,0,2,0,0,1,0
1996,2,NSW,beach,swimming,other,0,0,0,0,1,0
1996,1,QLD,other,swimming,bronze whaler shark,0,2,0,0,1,0
1996,1,WA,island,other,other,0,0,0,0,0,0
1996,1,NSW,reef,other,other,0,0,0,0,0,0
1995,11,QLD,island,other,other,0,0,0,0,0,0
1995,10,QLD,bay,other,other,0,2,0,0,0,0
1995,9,WA,island,diving,white shark,0,4,1,1,0,0
1995,5,WA,island,other,other,0,0,0,0,0,0
1995,4,NSW,other,diving,wobbegong shark,0,0,0,0,0,0
1995,3,NSW,island,surfing,other,0,0,0,0,0,0
1995,3,SA,beach,surfing,bronze whaler shark,0,2,0,1,0,0
1995,0,QLD,reef,snorkeling,other,1,0,0,0,0,0
1994,1,WA,other,fishing,white shark,0,0,0,0,0,0
1994,1,QLD,river,boarding,other,0,2,0,0,0,0
1993,11,WA,bay,diving,tiger shark,0,4,0,0,0,0
1993,8,WA,island,fishing,white shark,0,0,0,0,0,0
